x  y  frame  time(s)
228 102 3209 127.595616
228 102 3211 127.675140
228 102 3213 127.754663
228 102 3214 127.794425
110 204 3216 127.873949
228 102 3217 127.913711
228 102 3219 127.993234
228 102 3220 128.032996
228 102 3221 128.072758
228 102 3222 128.112520
228 102 3223 128.152281
148 108 3229 128.390852
148 108 3232 128.510138
148 108 3233 128.549899
148 108 3240 128.828232
148 108 3241 128.867994
148 108 3242 128.907756
148 108 3244 128.987279
148 108 3245 129.027041
148 108 3247 129.106565
148 108 3248 129.146326
148 108 3249 129.186088
148 108 3250 129.225850
266 148 3286 130.657275
266 148 3288 130.736798
266 150 3298 131.134416
264 150 3302 131.293464
186 60 3306 131.452511
186 60 3307 131.492273
186 60 3311 131.651320
186 60 3312 131.691082
186 60 3319 131.969414
186 62 3323 132.128461
186 62 3326 132.247747
186 62 3327 132.287509
190 112 3328 132.327270
190 114 3331 132.446556
190 114 3334 132.565841
190 114 3335 132.605603
190 114 3337 132.685127
190 114 3340 132.804412
190 114 3341 132.844174
190 114 3347 133.082745
190 114 3348 133.122506
190 114 3349 133.162268
190 114 3350 133.202030
190 114 3351 133.241792
190 114 3352 133.281554
110 118 3354 133.361077
112 118 3361 133.639410
112 116 3366 133.838219
40 76 3404 135.349167
70 50 3434 136.542021
72 96 3457 137.456543
74 98 3473 138.092731
74 98 3474 138.132493
74 98 3478 138.291540
74 96 3479 138.331302
74 98 3480 138.371064
76 120 3481 138.410826
76 120 3482 138.450588
76 120 3490 138.768682
84 186 3508 139.484394
84 186 3509 139.524156
84 186 3514 139.722965
84 186 3516 139.802489
84 186 3518 139.882012
130 208 3520 139.961536
84 186 3521 140.001298
84 186 3522 140.041060
84 186 3526 140.200107
84 186 3528 140.279630
84 186 3530 140.359154
84 186 3532 140.438678
266 108 3533 140.478439
266 108 3543 140.876057
114 140 3570 141.949626
112 140 3572 142.029150
114 140 3583 142.466529
90 198 3635 144.534143
120 202 3671 145.965568
116 114 3672 146.005330
116 114 3674 146.084853
116 114 3675 146.124615
116 114 3676 146.164377
116 114 3677 146.204139
114 114 3680 146.323424
114 114 3683 146.442709
116 114 3686 146.561995
116 114 3687 146.601757
204 192 3918 155.786732
178 194 3980 158.251964
180 108 4042 160.717196
180 108 4043 160.756957
180 108 4044 160.796719
180 108 4045 160.836481
180 108 4046 160.876243
180 108 4047 160.916005
180 108 4048 160.955766
180 108 4049 160.995528
180 112 4050 161.035290
182 108 4051 161.075052
180 108 4052 161.114814
182 114 4055 161.234099
180 110 4056 161.273861
180 110 4057 161.313623
182 108 4058 161.353384
182 108 4059 161.393146
180 108 4061 161.472670
180 108 4062 161.512432
180 110 4063 161.552193
176 108 4064 161.591955
182 110 4065 161.631717
180 110 4067 161.711241
178 110 4068 161.751002
182 110 4069 161.790764
180 114 4070 161.830526
180 110 4071 161.870288
178 110 4072 161.910050
180 110 4073 161.949811
182 108 4074 161.989573
180 110 4075 162.029335
180 110 4076 162.069097
180 110 4077 162.108859
180 110 4078 162.148620
180 110 4079 162.188382
180 110 4080 162.228144
180 110 4081 162.267906
178 110 4082 162.307668
