x  y  frame  time(s)
314 252 3083 51.404709
312 260 3087 51.471403
312 260 3088 51.488077
302 278 3099 51.671486
300 284 3101 51.704834
300 284 3102 51.721507
300 286 3104 51.754854
298 290 3108 51.821549
298 290 3109 51.838222
300 288 3110 51.854896
298 292 3112 51.888243
296 290 3113 51.904917
296 290 3114 51.921590
298 290 3116 51.954938
296 290 3119 52.004958
296 290 3120 52.021632
298 292 3121 52.038306
298 292 3122 52.054979
298 288 3124 52.088326
298 290 3125 52.105000
300 288 3128 52.155021
298 290 3129 52.171694
298 288 3136 52.288410
298 290 3137 52.305083
298 290 3141 52.371778
298 288 3144 52.421798
300 288 3145 52.438472
296 288 3150 52.521840
296 288 3154 52.588534
300 286 3160 52.688576
300 286 3161 52.705250
298 290 3162 52.721923
298 290 3163 52.738597
298 290 3164 52.755270
298 288 3169 52.838638
296 282 3175 52.938680
294 280 3176 52.955354
294 280 3177 52.972027
294 274 3181 53.038722
292 270 3182 53.055395
286 252 3191 53.205458
286 252 3192 53.222131
286 252 3193 53.238805
284 244 3194 53.255478
282 240 3196 53.288826
282 236 3197 53.305499
282 236 3198 53.322173
280 226 3201 53.372194
280 226 3202 53.388867
278 222 3204 53.422214
278 222 3205 53.438888
278 220 3206 53.455562
276 216 3207 53.472235
274 206 3216 53.622298
272 202 3219 53.672318
274 202 3222 53.722339
274 202 3223 53.739013
272 200 3225 53.772360
274 202 3241 54.039138
274 202 3243 54.072485
274 202 3244 54.089158
274 202 3247 54.139179
274 202 3248 54.155853
272 202 3253 54.239221
272 202 3255 54.272568
272 204 3258 54.322589
272 202 3259 54.339262
272 202 3260 54.355936
272 202 3261 54.372610
274 202 3262 54.389283
278 212 3270 54.522672
280 220 3272 54.556019
280 220 3273 54.572693
286 230 3278 54.656061
302 278 3292 54.889491
306 282 3293 54.906165
306 282 3294 54.922838
316 314 3304 55.089574
318 318 3307 55.139595
320 320 3308 55.156269
320 322 3309 55.172942
320 322 3310 55.189616
324 326 3313 55.239637
324 332 3317 55.306331
324 332 3321 55.373026
324 332 3322 55.389699
324 332 3323 55.406373
324 332 3325 55.439720
324 330 3327 55.473067
324 330 3328 55.489741
324 330 3329 55.506414
324 330 3330 55.523088
324 330 3331 55.539762
322 332 3338 55.656477
324 332 3341 55.706498
326 332 3342 55.723171
324 332 3347 55.806539
324 332 3348 55.823213
324 332 3350 55.856560
322 334 3355 55.939928
322 334 3356 55.956602
324 334 3360 56.023296
324 334 3361 56.039970
324 332 3362 56.056643
324 334 3368 56.156685
324 334 3369 56.173358
324 334 3379 56.340094
326 334 3388 56.490157
328 330 3392 56.556851
330 330 3395 56.606872
338 318 3407 56.806955
340 316 3409 56.840302
342 314 3410 56.856976
342 314 3411 56.873650
344 310 3414 56.923670
344 310 3415 56.940344
346 306 3419 57.007038
346 306 3420 57.023712
348 300 3425 57.107080
354 296 3437 57.307163
354 296 3438 57.323837
354 294 3439 57.340510
354 294 3440 57.357184
354 296 3441 57.373858
354 296 3446 57.457226
354 296 3453 57.573941
354 292 3458 57.657309
354 292 3459 57.673982
354 294 3460 57.690656
354 294 3461 57.707330
356 294 3462 57.724003
354 292 3463 57.740677
356 294 3464 57.757350
354 294 3467 57.807371
356 292 3468 57.824045
356 292 3469 57.840718
356 292 3470 57.857392
354 290 3472 57.890739
354 290 3473 57.907413
352 292 3476 57.957434
354 290 3477 57.974107
354 290 3478 57.990781
354 290 3479 58.007454
354 292 3481 58.040802
354 292 3482 58.057475
354 290 3485 58.107496
354 290 3486 58.124170
354 290 3489 58.174190
354 290 3490 58.190864
354 290 3491 58.207538
356 290 3492 58.224211
354 288 3497 58.307579
354 288 3498 58.324253
348 290 3500 58.357600
348 290 3501 58.374274
328 286 3509 58.507662
324 286 3510 58.524336
324 286 3511 58.541010
322 286 3512 58.557683
316 288 3513 58.574357
312 288 3514 58.591030
270 288 3525 58.774440
266 288 3526 58.791114
262 288 3527 58.807787
262 288 3528 58.824461
258 288 3529 58.841134
236 288 3535 58.941176
224 288 3540 59.024544
224 288 3541 59.041218
222 286 3543 59.074565
222 286 3544 59.091238
218 286 3545 59.107912
216 286 3546 59.124586
212 288 3554 59.257974
212 290 3564 59.424710
214 288 3572 59.558099
212 290 3573 59.574773
212 290 3574 59.591446
214 290 3580 59.691488
214 290 3584 59.758182
212 292 3585 59.774856
212 290 3586 59.791530
212 290 3587 59.808203
212 292 3592 59.891571
208 292 3595 59.941592
206 296 3598 59.991613
206 296 3599 60.008286
206 298 3601 60.041634
204 296 3604 60.091654
198 302 3610 60.191696
194 306 3617 60.308411
184 312 3632 60.558515
184 312 3633 60.575189
184 310 3634 60.591862
186 310 3642 60.725251
184 310 3644 60.758598
184 310 3645 60.775272
184 310 3646 60.791946
184 312 3650 60.858640
184 310 3652 60.891987
184 310 3653 60.908661
184 310 3655 60.942008
186 310 3659 61.008702
184 314 3660 61.025376
184 310 3661 61.042050
184 310 3662 61.058723
186 310 3663 61.075397
186 314 3668 61.158765
186 314 3671 61.208786
186 314 3672 61.225459
186 312 3677 61.308827
186 312 3678 61.325501
186 310 3681 61.375522
184 312 3682 61.392195
184 312 3683 61.408869
186 312 3687 61.475563
184 312 3688 61.492237
184 312 3689 61.508910
184 312 3690 61.525584
186 312 3691 61.542258
184 314 3692 61.558931
182 312 3696 61.625626
182 312 3697 61.642299
184 312 3700 61.692320
182 314 3701 61.708994
182 314 3703 61.742341
182 314 3704 61.759014
182 318 3715 61.942424
